STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	どの	どの	Cái … nào	どの本ですか。\nCuốn sách nào ạ?	7	Nhà của Cáo N5
2	この	この	Cái … này (gần người nói)	この本です。\nĐây là cuốn sách này.	7	Nhà của Cáo N5
3	その	その	Cái … đó (gần người nghe)	その本じゃありません。\nKhông phải cuốn sách đó.	7	Nhà của Cáo N5
4	あの	あの	Cái … kia (xa cả người nói và người nghe)	あの本はいくらですか。\nCuốn sách kia bao nhiêu tiền?	7	Nhà của Cáo N5
5	いくら	いくら	Bao nhiêu tiền	この本とそのペンはいくらですか。\nCuốn sách này và cái bút đó bao nhiêu tiền?	7	Nhà của Cáo N5
6	～屋	～や	Cửa hàng ~	すみません。カメラ屋はどこですか。\nXin lỗi. Cửa hàng máy ảnh ở đâu ạ?	7	Nhà của Cáo N5
7	カメラ	カメラ	Máy ảnh	この日本のカメラは５万円です。\nMáy ảnh Nhật này giá 5 vạn yên.	7	Nhà của Cáo N5
8	電話	でんわ	Điện thoại	その電話は２万円ですか。\nCái điện thoại đó giá 2 vạn yên phải không?	7	Nhà của Cáo N5
9	携帯電話	けいたいでんわ	Điện thoại di động	あの携帯電話はイヌさんの携帯電話です。\nĐiện thoại di động kia là của anh Inu.	7	Nhà của Cáo N5
10	スマホ	スマホ	Điện thoại thông minh	そのスマホじゃありません。\nKhông phải cái smartphone đó.	7	Nhà của Cáo N5
11	パソコン	パソコン	Máy tính	このパソコンはいくらですか。\nMáy tính này bao nhiêu tiền?	7	Nhà của Cáo N5
12	電池	でんち	Pin	その電池も３００円ですか。\nViên pin đó cũng 300 yên phải không?	7	Nhà của Cáo N5
13	本	ほん	Sách	キツネさんの本はあの本です。\nCuốn sách của anh Kitsune là cuốn sách đó.	7	Nhà của Cáo N5
14	消しゴム	けしゴム	Tẩy	その消しゴムは１００円です。\nCục tẩy đó giá 100 yên.	7	Nhà của Cáo N5
15	ペン	ペン	Bút	あのペンじゃありません。\nKhông phải cây bút kia.	7	Nhà của Cáo N5
16	ボールペン	ボールペン	Bút bi	このボールペンはいくらですか。\nCây bút bi này bao nhiêu tiền?	7	Nhà của Cáo N5
17	鉛筆	えんぴつ	Bút chì	その鉛筆はネコさんの鉛筆ですか。\nBút chì đó là của anh Neko phải không?	7	Nhà của Cáo N5
18	名刺	めいし	Danh thiếp	ネコさんの名刺はどの名刺ですか。\nDanh thiếp của anh Neko là cái nào thế?	7	Nhà của Cáo N5
19	ノート	ノート	Vở	あのノートじゃありません。このノートです。\nKhông phải quyển vở kia mà là cuốn vở này cơ.	7	Nhà của Cáo N5
20	紙	かみ	Giấy	その紙も１００円ですか。\nTờ giấy đó cũng 100 yên phải không?	7	Nhà của Cáo N5
21	手帳	てちょう	Sổ tay	この手帳はイヌさんの手帳です。\nSổ tay này là của anh Inu.	7	Nhà của Cáo N5
22	パンチ	パンチ	Dụng cụ bấm lỗ	あのパンチはいくらですか。\nCái bấm lỗ kia bao nhiêu tiền?	7	Nhà của Cáo N5
23	ホッチキス	ホッチキス	Dập ghim	そのホッチキスは５００円です。\nCái dập ghim đó 500 yên.	7	Nhà của Cáo N5
24	セロテープ	セロテープ	Băng keo trong suốt	このセロテープは１００円じゃありません。\nCuộn băng keo này không phải giá 100 yên.	7	Nhà của Cáo N5
25	ハサミ	ハサミ	Cái kéo	あのハサミとパンチは５５０円ですか。\nCái kéo và đồ đục lỗ kia hết 550 yên. 	7	Nhà của Cáo N5
26	箱	はこ	Hộp	その箱はいくらですか。\nCái hộp đó bao nhiêu tiền?	7	Nhà của Cáo N5
27	靴	くつ	Giày	靴屋もあそこですね。\nCửa hàng giày cũng ở đằng kia nhỉ?	7	Nhà của Cáo N5
28	靴下	くつした	Tất	靴と靴下はそちらです。\nGiày và tất ở đằng đó.	7	Nhà của Cáo N5
29	シャツ	シャツ	Áo sơ mi	そのシャツはネコさんのシャツですか。\nÁo sơ mi đó là của anh Neko phải không?	7	Nhà của Cáo N5
30	セーター	セーター	Áo len	このセーターも５０００円ですか。\nÁo len này cũng 5.000 yên phải không?	7	Nhà của Cáo N5
31	コート	コート	Áo khoác	あのコートはいくらですか。\nÁo khoác kia bao nhiêu tiền?	7	Nhà của Cáo N5
32	スーツ	スーツ	Bộ comple/Bộ vest	私のスーツはそのスーツです。\nBộ vest của tôi là bộ vest đó.	7	Nhà của Cáo N5
33	上着	うわぎ	Áo khoác ngoài	この上着はイヌさんの上着じゃありません。\nCái áo khoác này không phải áo khoác của anh Inu.	7	Nhà của Cáo N5
34	下着	したぎ	Đồ lót	あの下着はいくらですか。\nĐồ lót kia bao nhiêu tiền?	7	Nhà của Cáo N5
35	着物	きもの	Kimono	その着物は５３９５７円です。\nBộ kimono đó giá 53957 yên.	7	Nhà của Cáo N5
36	ズボン	ズボン	Quần dài	ズボンと半ズボンはあちらです。\nQuần dài và quần ngố ở đằng kia.	7	Nhà của Cáo N5
37	半ズボン	はんズボン	Quần ngố	この半ズボンも２８３６円です。\nCái quần ngố này cũng 2836 yên.	7	Nhà của Cáo N5
38	ジーンズ	ジーンズ	Quần jean	そのジーンズも４０００円ですか。\nQuần jean đó cũng 4000 yên phải không?	7	Nhà của Cáo N5
39	パンツ	パンツ	Quần	このパンツはいくらですか。\nQuần này bao nhiêu tiền?	7	Nhà của Cáo N5
40	スカート	スカート	Váy	あのスカートは１４７８円ですか。\nCái váy kia 1478 yên đúng không?	7	Nhà của Cáo N5
41	ワンピース	ワンピース	Váy liền	そのワンピースじゃありません。あのワンピースです。\nKhông phải váy liền đó. Cái váy liền kia cơ.	7	Nhà của Cáo N5
42	帽子	ぼうし	Mũ	この帽子はネコさんの帽子ですか。\nCái mũ này là của anh Neko phải không?	7	Nhà của Cáo N5
43	眼鏡	めがね	Kính	あの中国の眼鏡はいくらですか。\nCái kính Trung Quốc kia bao nhiêu tiền?	7	Nhà của Cáo N5
44	サングラス	サングラス	Kính râm	このサングラスは韓国のサングラスです。\nCái kính râm này là kính râm của Hàn Quốc.	7	Nhà của Cáo N5
45	ネクタイ	ネクタイ	Cà vạt	スーツとネクタイはいくらですか。\nVest và cà vạt hết bao nhiêu tiền?	7	Nhà của Cáo N5
46	指輪	ゆびわ	Nhẫn	イヌさん、イヌさんの指輪はいくらですか。\nAnh Inu ơi, nhẫn của anh bao nhiêu tiền thế ạ?	7	Nhà của Cáo N5
47	時計	とけい	Đồng hồ	その時計もスイスの時計じゃありません。\nChiếc đồng hồ đó cũng không phải đồng hồ Thụy Sĩ đâu.	7	Nhà của Cáo N5
48	鞄	かばん	Cặp, túi xách	この鞄はいくらですか。\nCái cặp này bao nhiêu tiền?	7	Nhà của Cáo N5
49	財布	さいふ	Ví	あの財布はキツネさんの財布ですね。\nCái ví kia là ví của anh Kitsune nhỉ.	7	Nhà của Cáo N5